ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-EE-A3AC-06	-1080.64	871.26	-209.39
TCGA-EE-A3AD-06	-1491.53	-822.16	-2313.69
TCGA-EE-A3AE-06	-752.61	918.78	166.17
TCGA-EE-A3AF-06	-225.54	862.83	637.29
TCGA-EE-A3AG-06	-1151.52	-951.86	-2103.37
TCGA-EE-A3AH-06	-488.05	-730.6	-1218.65
TCGA-EE-A3J3-06	326.35	347.05	673.4
TCGA-EE-A3J4-06	-515.46	-45.99	-561.45
TCGA-EE-A3J5-06	-14.68	909.4	894.72
TCGA-EE-A3J7-06	-1276.13	-720.43	-1996.56
TCGA-EE-A3J8-06	-1381.77	-1288.69	-2670.47
TCGA-EE-A3JA-06	48.05	878.81	926.86
TCGA-EE-A3JB-06	348.32	624.33	972.65
TCGA-EE-A3JD-06	171.95	2555.57	2727.53
TCGA-EE-A3JE-06	1456.96	2567.13	4024.09
TCGA-EE-A3JH-06	793.05	2912.8	3705.85
TCGA-EE-A3JI-06	-1105.44	-71.96	-1177.4
TCGA-ER-A193-06	458.3	1201.27	1659.58
TCGA-ER-A194-01	-45.32	1117.54	1072.22
TCGA-ER-A195-06	996.98	1571.32	2568.3
TCGA-ER-A196-01	-646.61	-174.75	-821.36
TCGA-ER-A197-06	250.52	1750.72	2001.24
TCGA-ER-A198-06	-584.57	703.83	119.27
TCGA-ER-A199-06	-333.03	2073.68	1740.66
TCGA-ER-A19A-06	1727.77	2843.04	4570.81
TCGA-ER-A19B-06	-552.08	-355.73	-907.81
TCGA-ER-A19C-06	-261.28	-289.35	-550.63
TCGA-ER-A19D-06	1112.4	874.47	1986.87
TCGA-ER-A19E-06	-401.75	-263.08	-664.84
TCGA-ER-A19F-06	-860.68	-212.67	-1073.35
TCGA-ER-A19G-06	-310.35	1333.11	1022.76
TCGA-ER-A19H-06	169.12	597.17	766.29
TCGA-ER-A19J-06	202.77	-151.06	51.72
TCGA-ER-A19K-01	-810.67	157.52	-653.14
TCGA-ER-A19L-06	161.87	-389.6	-227.73
TCGA-ER-A19M-06	396.07	1350.52	1746.59
TCGA-ER-A19N-06	765.4	2174.12	2939.52
TCGA-ER-A19O-06	965.56	2345.61	3311.17
TCGA-ER-A19P-06	650.68	3092.05	3742.73
TCGA-ER-A19Q-06	388.36	1519.51	1907.87
TCGA-ER-A19S-06	-25.38	2641.85	2616.46
TCGA-ER-A19T-06	-274.77	579.33	304.56
TCGA-ER-A19T-01	-785.31	-1379.65	-2164.95
TCGA-ER-A19W-06	414.32	2653.91	3068.22
TCGA-ER-A1A1-06	194.16	3006.65	3200.81
TCGA-ER-A2NC-06	749.99	971.04	1721.03
TCGA-ER-A2ND-06	-1070.97	-2.88	-1073.85
TCGA-ER-A2NE-06	-1618.95	-911.77	-2530.72
TCGA-ER-A2NF-06	-1078.55	350.06	-728.48
TCGA-ER-A2NF-01	335.44	812.57	1148.01
TCGA-ER-A2NG-06	-145.1	2030.96	1885.87
TCGA-ER-A2NH-06	589.28	2594.91	3184.19
TCGA-ER-A3ES-06	-1390.28	-1474.17	-2864.45
TCGA-ER-A3ET-06	531.56	744.52	1276.08
TCGA-ER-A3EV-06	-689	123.49	-565.51
TCGA-ER-A3PL-06	113.4	-192.64	-79.24
TCGA-ER-A42H-01	-302.07	-640.8	-942.87
TCGA-ER-A42K-06	-573.92	-398.39	-972.31
TCGA-ER-A42L-06	545.14	2299.48	2844.62
TCGA-FR-A2OS-01	-652.06	-527.37	-1179.43
TCGA-FR-A3R1-01	-775.56	160.93	-614.63
TCGA-FR-A3YN-06	-826.91	398.28	-428.63
TCGA-FR-A3YO-06	-293.88	457.25	163.37
TCGA-FR-A44A-06	315.76	2542.17	2857.93
TCGA-FR-A69P-06	59.24	-587.07	-527.83
TCGA-FR-A726-01	-819.53	-657.45	-1476.98
TCGA-FR-A728-01	-93.5	1303.64	1210.14
TCGA-FR-A729-06	-152.37	1912.47	1760.11
TCGA-FR-A7U8-06	-1206.54	-798.18	-2004.73
TCGA-FR-A7U9-06	762.43	1481.85	2244.28
TCGA-FR-A7UA-06	672.3	3441.88	4114.19
TCGA-FR-A8YC-06	-1122.68	5.43	-1117.25
TCGA-FR-A8YD-06	-1151.35	-245.24	-1396.59
TCGA-FR-A8YE-06	495.89	2529.21	3025.1
TCGA-FS-A1YW-06	-784.15	-307.36	-1091.52
TCGA-FS-A1YX-06	38.77	-44.78	-6.01
TCGA-FS-A1YY-06	103.96	-430.88	-326.92
TCGA-FS-A1Z0-06	-127.75	1167.2	1039.45
TCGA-FS-A1Z3-06	-635.52	-549.59	-1185.12
TCGA-FS-A1Z4-06	142.8	1924.32	2067.12
TCGA-FS-A1Z7-06	941.94	373.8	1315.75
TCGA-FS-A1ZA-06	-629.41	217.04	-412.37
TCGA-FS-A1ZB-06	766.94	1027.8	1794.74
TCGA-FS-A1ZC-06	-758.46	-1046.5	-1804.96
TCGA-FS-A1ZD-06	-60.48	-395.73	-456.21
TCGA-FS-A1ZE-06	-699.92	-993.56	-1693.48
TCGA-FS-A1ZF-06	-50.49	-727.12	-777.61
TCGA-FS-A1ZG-06	-1263.17	-811.62	-2074.79
TCGA-FS-A1ZH-06	819.95	1450.44	2270.39
TCGA-FS-A1ZJ-06	-884.48	-402.88	-1287.35
TCGA-FS-A1ZK-06	-1048.77	-1229.66	-2278.43
TCGA-FS-A1ZM-06	631.22	1370.03	2001.25
TCGA-FS-A1ZN-01	-1169.3	-603.36	-1772.66
TCGA-FS-A1ZP-06	331.58	508.9	840.48
TCGA-FS-A1ZQ-06	-856.26	-64.42	-920.69
TCGA-FS-A1ZR-06	-137.08	-105.51	-242.59
TCGA-FS-A1ZS-06	175.68	91.33	267.01
TCGA-FS-A1ZT-06	-179.9	977.82	797.92
TCGA-FS-A1ZU-06	-604.59	-800.57	-1405.15
TCGA-FS-A1ZW-06	-269.76	1342.18	1072.42
TCGA-FS-A1ZY-06	-882.21	-1155.96	-2038.18
TCGA-FS-A1ZZ-06	-1298.29	-834.08	-2132.36
TCGA-FS-A4F0-06	-1456.07	-887.81	-2343.88
TCGA-FS-A4F2-06	-772.11	-80.31	-852.42
TCGA-FS-A4F4-06	386.32	762.3	1148.62
TCGA-FS-A4F5-06	-854.67	-512.66	-1367.33
TCGA-FS-A4F8-06	763.03	2213.37	2976.4
TCGA-FS-A4F9-06	-1227.62	-491.83	-1719.45
TCGA-FS-A4FB-06	-719.61	-973.75	-1693.36
TCGA-FS-A4FC-06	-354.19	-60.2	-414.39
TCGA-FS-A4FD-06	-11.32	-400.63	-411.94
TCGA-FW-A3I3-06	-1416.85	-849.73	-2266.58
TCGA-FW-A3R5-06	-289.31	227.92	-61.39
TCGA-FW-A3TU-06	-1421.32	527.43	-893.89
TCGA-FW-A3TV-06	-431.54	166.95	-264.6
TCGA-FW-A5DX-01	-1046.01	-832.68	-1878.69
TCGA-FW-A5DY-06	-202.93	2207.77	2004.84
TCGA-GF-A2C7-01	-778.58	-1042.13	-1820.72
TCGA-GF-A3OT-06	285.97	688.44	974.42
TCGA-GF-A4EO-06	90.69	2708.81	2799.49
TCGA-GF-A6C8-06	-539.21	457.55	-81.66
TCGA-GF-A6C9-06	313.29	2331.02	2644.31
TCGA-GF-A769-01	-1140.69	-655.23	-1795.93
TCGA-GN-A262-06	-1597.24	-1331.65	-2928.88
TCGA-GN-A263-01	74.45	299.72	374.17
TCGA-GN-A264-06	27.66	-280.79	-253.13
TCGA-GN-A265-06	1314.31	2159.07	3473.37
TCGA-GN-A266-06	1011.76	1705.76	2717.52
TCGA-GN-A267-06	-510.4	380.58	-129.82
TCGA-GN-A268-06	-1307.38	-881.82	-2189.21
TCGA-GN-A26A-06	211.1	1258.71	1469.8
TCGA-GN-A26C-01	273.93	2098.99	2372.93
TCGA-GN-A26D-06	-1125.48	-279.72	-1405.2
TCGA-GN-A4U3-06	-1252.83	-523.83	-1776.66
TCGA-GN-A4U4-06	-1363.25	-552.02	-1915.27
TCGA-GN-A4U5-01	-336.53	1378.43	1041.9
TCGA-GN-A4U7-06	-1466.07	-944.69	-2410.76
TCGA-GN-A4U8-06	-659.94	1589.79	929.84
TCGA-GN-A4U9-06	-728.91	-457.63	-1186.54
TCGA-GN-A8LK-06	-1804.83	-1188.48	-2993.31
TCGA-GN-A8LL-06	-1005	-477.66	-1482.67
TCGA-GN-A8LN-01	-685.78	-88.95	-774.73
TCGA-GN-A9SD-06	81.87	1895.11	1976.98
TCGA-HR-A2OG-06	885.84	966.5	1852.35
TCGA-HR-A2OH-06	120.71	2890.84	3011.54
TCGA-HR-A5NC-01	-336.17	-363.27	-699.44
TCGA-IH-A3EA-01	-1250.73	129.38	-1121.36
TCGA-LH-A9QB-06	-617.18	-643.37	-1260.55
TCGA-OD-A75X-06	-1009.05	-365.4	-1374.45
TCGA-QB-A6FS-06	-70.88	1595.72	1524.83
TCGA-QB-AA9O-06	-884.41	1041.26	156.85
TCGA-RP-A690-06	-1208.1	-496.63	-1704.74
TCGA-RP-A693-06	-111.96	1021.12	909.16
TCGA-RP-A694-06	-586.77	223.66	-363.11
TCGA-RP-A695-06	-1012.35	-32.43	-1044.78
TCGA-RP-A6K9-06	-69.91	748.9	679
TCGA-W3-A824-06	-829.15	1110.23	281.07
TCGA-W3-A825-06	98.23	934.35	1032.58
TCGA-W3-A828-06	1210.92	207.93	1418.86
TCGA-W3-AA1O-06	-797.82	-578.65	-1376.47
TCGA-W3-AA1Q-06	-650.82	518.59	-132.23
TCGA-W3-AA1R-06	-1567.37	-5.12	-1572.49
TCGA-W3-AA1V-06	-174.15	826.14	651.99
TCGA-W3-AA1W-06	-221	2950.68	2729.68
TCGA-W3-AA21-06	-1412.96	-405.39	-1818.35
TCGA-WE-A8JZ-06	-811.82	-564.42	-1376.24
TCGA-WE-A8K1-06	-426.61	1306.55	879.94
TCGA-WE-A8K4-01	-972.13	1258.15	286.02
TCGA-WE-A8K5-06	-1.61	258.52	256.91
TCGA-WE-A8K6-06	-776.63	-314.01	-1090.65
TCGA-WE-A8ZM-06	-331.39	-1094.1	-1425.49
TCGA-WE-A8ZN-06	474.7	1412.24	1886.94
TCGA-WE-A8ZO-06	-567.29	863.96	296.67
TCGA-WE-A8ZQ-06	-710.6	-1201.63	-1912.23
TCGA-WE-A8ZR-06	-1214.21	-134.9	-1349.1
TCGA-WE-A8ZT-06	-1218.9	-578.31	-1797.21
TCGA-WE-A8ZX-06	-561.83	1095.15	533.32
TCGA-WE-A8ZY-06	-609.4	-147.12	-756.51
TCGA-WE-AA9Y-06	807.73	453.14	1260.87
TCGA-WE-AAA0-06	-1061.83	461.51	-600.32
TCGA-WE-AAA3-06	440.19	852.7	1292.89
TCGA-WE-AAA4-06	524.04	2648.99	3173.03
TCGA-XV-A9VZ-01	-552.81	-1164.03	-1716.83
TCGA-XV-A9W2-01	-1181.18	-419.89	-1601.07
TCGA-XV-A9W5-01	-435.48	-175.28	-610.76
TCGA-XV-AAZV-01	21.11	1504.93	1526.04
TCGA-XV-AAZW-01	-706.13	-765.13	-1471.27
TCGA-XV-AAZY-01	-240.75	966.73	725.98
TCGA-XV-AB01-01	74.8	653.04	727.84
TCGA-YD-A89C-06	-993.38	-1169.17	-2162.55
TCGA-YD-A9TA-06	-75.9	601.04	525.13
TCGA-YD-A9TB-06	303.4	344.1	647.49
TCGA-YG-AA3N-01	-567.63	1557.99	990.37
TCGA-YG-AA3O-06	-577.36	-72.87	-650.23
TCGA-YG-AA3P-06	-1357.99	-862.22	-2220.21
TCGA-Z2-A8RT-06	-464.32	965.05	500.73
